date,company_key,followers_total,followers_new,engagement_total,engagement_rate,posts_count
2026-08-28,accenture,15000000,12000,45000,0.3,8
2026-09-04,accenture,15013500,13500,47000,0.31,9
2026-08-28,adswerve,12000,80,600,5.0,3
2026-09-04,adswerve,12950,950,2100,16.5,5
2026-08-28,apply-digital,40000,300,1800,4.5,4
2026-09-04,apply-digital,39700,-300,1700,4.3,3
2026-08-28,deloitte,15500000,14000,52000,0.34,10
2026-09-04,deloitte,15515000,15000,50500,0.33,9
2026-08-28,insight-enterprises,300000,1200,4500,1.5,5
2026-09-04,insight-enterprises,301300,1300,4600,1.53,5
2026-08-28,kpmg,3000000,4000,9000,0.3,6
2026-09-04,kpmg,3004200,4200,9100,0.3,6
2026-08-28,mckinsey,10000000,9000,61000,0.61,9
2026-09-04,mckinsey,10011000,11000,64000,0.64,10
2026-08-28,pwc,6000000,6500,18000,0.3,7
2026-09-04,pwc,6006800,6800,18500,0.31,8
2026-08-28,slalom-consulting,250000,900,3200,1.28,5
2026-09-04,slalom-consulting,250950,950,3100,1.24,4
