state_key,bucket,entity_key,post_id,url,date_posted,post_type,content_text,likes,comments,shares,reactions_total,hashtags
company:accenture,company_pages,accenture,acn-001,https://www.linkedin.com/posts/accenture_acn-001,2026-08-26,video,How generative AI is reinventing enterprise operations - our latest Reinvention research.,1800,120,90,,#AI;#Reinvention
company:deloitte,company_pages,deloitte,del-001,https://www.linkedin.com/posts/deloitte_del-001,2026-08-25,document,5 ways generative AI is changing the audit function. Swipe through our latest carousel.,1400,80,60,,#GenAI;#Audit
company:mckinsey,company_pages,mckinsey,mck-001,https://www.linkedin.com/posts/mckinsey_mck-001,2026-08-27,article,The future of work: what leaders are getting wrong about hybrid productivity.,2600,210,140,,#FutureOfWork
company:slalom-consulting,company_pages,slalom-consulting,slc-001,https://www.linkedin.com/posts/slalom_slc-001,2026-08-26,image,Trust is the foundation of every client relationship. Here's how our teams build it.,210,18,9,,#ClientTrust
leader:tom-zawacki,leadership_profiles,tom-zawacki,tom-001,https://www.linkedin.com/posts/tomzawacki_tom-001,2026-08-27,text,First-party data strategy isn't optional anymore. Here's where most brands are behind.,180,22,15,,#FirstPartyData
leader:jason-girzadas,leadership_profiles,jason-girzadas,jason-001,https://www.linkedin.com/posts/jasongirzadas_jason-001,2026-08-24,article,Reflections on leading through disruption - what I've learned this year.,520,60,25,,#Leadership
company:adswerve,company_pages,adswerve,adw-001,https://www.linkedin.com/posts/adswerve_adw-001,2026-08-24,text,3 quick wins for your GA4 migration before Q4 reporting season.,95,14,6,,#GA4;#Analytics
leader:brad-jackson,leadership_profiles,brad-jackson,brad-001,https://www.linkedin.com/posts/bradjackson_brad-001,2026-08-25,text,Culture isn't a slide in a deck - it's what happens when no one's watching.,340,45,12,,
company:adswerve,company_pages,adswerve,adw-002,https://www.linkedin.com/posts/adswerve_adw-002,2026-09-01,video,We broke down the exact GA4 + server-side tagging setup that cut our client's data loss by 40%. Full walkthrough inside.,4200,380,510,,#GA4;#ServerSideTagging;#Analytics
company:accenture,company_pages,accenture,acn-002,https://www.linkedin.com/posts/accenture_acn-002,2026-09-02,document,Our new Life Trends 2027 report is here - what's shaping consumer behavior next year.,1650,140,95,,#LifeTrends
company:deloitte,company_pages,deloitte,del-002,https://www.linkedin.com/posts/deloitte_del-002,2026-09-03,video,Inside Deloitte's approach to agentic AI in enterprise workflows.,2100,190,130,,#AgenticAI
company:kpmg,company_pages,kpmg,kpmg-001,https://www.linkedin.com/posts/kpmg_kpmg-001,2026-09-02,image,Tax policy is shifting fast. Here's what CFOs need to watch this quarter.,610,55,30,,#TaxPolicy
company:pwc,company_pages,pwc,pwc-001,https://www.linkedin.com/posts/pwc_pwc-001,2026-09-01,article,"Our 2026 CEO survey: confidence is up, but talent concerns remain.",980,90,48,,#CEOSurvey
company:insight-enterprises,company_pages,insight-enterprises,insight-001,https://www.linkedin.com/posts/insight_insight-001,2026-09-03,text,Cloud cost optimization doesn't have to mean cutting capability. Here's our framework.,240,20,10,,#CloudCost
company:apply-digital,company_pages,apply-digital,apply-001,https://www.linkedin.com/posts/applydigital_apply-001,2026-09-02,image,Composable commerce isn't a buzzword - it's how our clients are shipping faster.,310,28,14,,#ComposableCommerce
leader:brad-jackson,leadership_profiles,brad-jackson,brad-002,https://www.linkedin.com/posts/bradjackson_brad-002,2026-09-03,text,"The best consultants I know ask better questions, not give faster answers.",410,52,18,,
leader:ali-alkhafaji,leadership_profiles,ali-alkhafaji,ali-001,https://www.linkedin.com/posts/alialkhafaji_ali-001,2026-09-02,text,Composable isn't about the tech stack. It's about how fast your team can learn from real usage.,290,31,11,,#ComposableCommerce
leader:john-f-walsh,leadership_profiles,john-f-walsh,johnwalsh-001,https://www.linkedin.com/posts/johnfwalsh_johnwalsh-001,2026-09-01,text,Every transformation program fails for the same three reasons. None of them are technology.,560,64,29,,#Transformation
leader:tim-walsh,leadership_profiles,tim-walsh,timwalsh-001,https://www.linkedin.com/posts/timwalsh_timwalsh-001,2026-09-02,image,Attribution modeling is broken for most B2B marketers. Here's the fix we're using with clients.,175,19,8,,#Attribution
leader:javier-arenas,leadership_profiles,javier-arenas,javier-001,https://www.linkedin.com/posts/javierarenas_javier-001,2026-09-03,text,AI won't replace strategists. Strategists who use AI will replace strategists who don't.,890,110,72,,#AI;#Strategy
